Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480A"	"0014"	"000C"	"480A"	"0000"	"0000"	"0"	"00A"	"000D"	
"014"	"B016"	"0016"	"0014"	"B016"	"B016"	"0000"	"0"	
"016"	"000B"	"0017"	"000B"	"000B"	"FFFC"	"0000"	"0"	"00B"	"FFFC"	
"017"	"C012"	"0012"	"0017"	"C012"	"C012"	"0000"	"0"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480A"	"0014"	"000D"	"480A"	"CBAE"	"CBAE"	"0"	"00A"	"000E"	
"014"	"B016"	"0015"	"0014"	"B016"	"B016"	"CBAE"	"0"	
"015"	"201D"	"001E"	"001D"	"201E"	"0016"	"CBAE"	"0"	"01D"	"0016"	
"01E"	"F200"	"001F"	"001E"	"F200"	"F200"	"0000"	"0"	
"01F"	"4011"	"0020"	"0011"	"4011"	"0005"	"0005"	"0"	
"020"	"F900"	"0021"	"0020"	"F900"	"F900"	"0004"	"1"	
"021"	"3011"	"0022"	"0011"	"3011"	"0004"	"0004"	"1"	"011"	"0004"	
"022"	"C81D"	"0016"	"001D"	"C81D"	"0016"	"0004"	"1"	
"016"	"000B"	"0017"	"000B"	"000B"	"FFFD"	"0004"	"1"	"00B"	"FFFD"	
"017"	"C012"	"0012"	"0017"	"C012"	"C012"	"0004"	"1"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"1"	
"013"	"480A"	"0014"	"000E"	"480A"	"0707"	"0707"	"1"	"00A"	"000F"	
"014"	"B016"	"0015"	"0014"	"B016"	"B016"	"0707"	"1"	
"015"	"201D"	"001E"	"001D"	"201E"	"0016"	"0707"	"1"	
"01E"	"F200"	"001F"	"001E"	"F200"	"F200"	"0000"	"1"	
"01F"	"4011"	"0020"	"0011"	"4011"	"0004"	"0004"	"1"	
"020"	"F900"	"0021"	"0020"	"F900"	"F900"	"0003"	"1"	
"021"	"3011"	"0022"	"0011"	"3011"	"0003"	"0003"	"1"	"011"	"0003"	
"022"	"C81D"	"0016"	"001D"	"C81D"	"0016"	"0003"	"1"	
"016"	"000B"	"0017"	"000B"	"000B"	"FFFE"	"0003"	"1"	"00B"	"FFFE"	
"017"	"C012"	"0012"	"0017"	"C012"	"C012"	"0003"	"1"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"1"	
"013"	"480A"	"0014"	"000F"	"480A"	"0000"	"0000"	"1"	"00A"	"0010"	
"014"	"B016"	"0016"	"0014"	"B016"	"B016"	"0000"	"1"	
"016"	"000B"	"0017"	"000B"	"000B"	"FFFF"	"0000"	"1"	"00B"	"FFFF"	
"017"	"C012"	"0012"	"0017"	"C012"	"C012"	"0000"	"1"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"1"	
"013"	"480A"	"0014"	"0010"	"480A"	"BACE"	"BACE"	"1"	"00A"	"0011"	
"014"	"B016"	"0015"	"0014"	"B016"	"B016"	"BACE"	"1"	
"015"	"201D"	"001E"	"001D"	"201E"	"0016"	"BACE"	"1"	
"01E"	"F200"	"001F"	"001E"	"F200"	"F200"	"0000"	"1"	
"01F"	"4011"	"0020"	"0011"	"4011"	"0003"	"0003"	"1"	
"020"	"F900"	"0021"	"0020"	"F900"	"F900"	"0002"	"1"	
"021"	"3011"	"0022"	"0011"	"3011"	"0002"	"0002"	"1"	"011"	"0002"	
"022"	"C81D"	"0016"	"001D"	"C81D"	"0016"	"0002"	"1"	
"016"	"000B"	"0018"	"000B"	"000B"	"0000"	"0002"	"1"	"00B"	"0000"	
"018"	"F000"	"0019"	"0018"	"F000"	"F000"	"0002"	"1"	